"breed","date","shelter_name","price_usd"
"Labrador Retriever","2024-02-05","Happy Paws Shelter",585
"French Bulldog","2024-08-06","Happy Paws Shelter",1212
"Beagle","2024-10-22","Willow Creek Adoptions",388
"German Shepherd","2024-10-02","City Animal Care",562
"Poodle (Standard)","2024-06-24","City Animal Care",691
"Border Collie","2022-09-10","City Animal Care",490
"French Bulldog","2023-01-27","Happy Paws Shelter",1258
"Beagle","2022-02-14","Pawsitive Rescue",206
"Chihuahua","2022-08-02","Happy Paws Shelter",364
"Golden Retriever","2022-08-16","Willow Creek Adoptions",620
"Chihuahua","2023-06-12","City Animal Care",343
"Pug","2024-12-23","City Animal Care",690
"Border Collie","2022-06-08","Happy Paws Shelter",507
"Pug","2024-02-27","Happy Paws Shelter",724
"Golden Retriever","2022-10-08","Pawsitive Rescue",364
"Pug","2023-04-21","Happy Paws Shelter",738
"Beagle","2024-04-11","Happy Paws Shelter",401
"Labrador Retriever","2022-11-12","Pawsitive Rescue",349
"Poodle (Standard)","2023-12-23","Willow Creek Adoptions",689
"Dachshund","2023-01-27","Willow Creek Adoptions",398
"Chihuahua","2023-06-26","Willow Creek Adoptions",363
"German Shepherd","2024-05-06","Willow Creek Adoptions",617
"Dachshund","2023-07-04","Willow Creek Adoptions",394
"French Bulldog","2022-08-14","Willow Creek Adoptions",1240
"Pug","2022-04-12","Willow Creek Adoptions",728
"Dachshund","2023-04-02","Willow Creek Adoptions",399
"Chihuahua","2022-07-18","City Animal Care",345
"Golden Retriever","2024-02-12","Willow Creek Adoptions",612
"Pug","2024-03-21","Happy Paws Shelter",729
"Beagle","2023-02-12","Willow Creek Adoptions",408
"Dachshund","2024-03-21","Willow Creek Adoptions",392
"Border Collie","2023-07-05","Pawsitive Rescue",261
"Poodle (Standard)","2023-08-03","Willow Creek Adoptions",708
"Golden Retriever","2022-09-09","Pawsitive Rescue",370
"Labrador Retriever","2022-10-14","Pawsitive Rescue",351
"German Shepherd","2023-05-03","City Animal Care",591
"Beagle","2023-09-28","Willow Creek Adoptions",397
"Beagle","2022-12-19","City Animal Care",392
"Chihuahua","2022-09-08","Willow Creek Adoptions",365
"Pug","2022-05-23","Pawsitive Rescue",412
"Poodle (Standard)","2022-01-04","City Animal Care",730
"Labrador Retriever","2024-04-06","Willow Creek Adoptions",603
"Border Collie","2024-04-18","Willow Creek Adoptions",471
"Pug","2022-12-22","Pawsitive Rescue",402
"Pug","2022-09-29","Willow Creek Adoptions",713
"French Bulldog","2022-05-16","Willow Creek Adoptions",1249
"Chihuahua","2022-08-08","Willow Creek Adoptions",366
"Pug","2022-04-21","Willow Creek Adoptions",724
"German Shepherd","2022-12-01","Happy Paws Shelter",612
"French Bulldog","2022-08-11","Willow Creek Adoptions",1241
"Poodle (Standard)","2023-03-23","Happy Paws Shelter",723
"Poodle (Standard)","2022-04-24","Pawsitive Rescue",443
"Border Collie","2024-12-25","Willow Creek Adoptions",459
"Pug","2024-03-29","Happy Paws Shelter",728
"Golden Retriever","2023-04-22","Pawsitive Rescue",367
"French Bulldog","2024-08-26","Willow Creek Adoptions",1199
"Border Collie","2023-06-17","Happy Paws Shelter",500
"Dachshund","2022-07-12","Willow Creek Adoptions",407
"Border Collie","2022-11-03","City Animal Care",485
"Pug","2024-05-21","Pawsitive Rescue",412
"Border Collie","2023-10-24","Pawsitive Rescue",255
"Poodle (Standard)","2023-06-16","Pawsitive Rescue",438
"French Bulldog","2024-06-24","City Animal Care",1178
"Dachshund","2022-06-27","Willow Creek Adoptions",409
"Dachshund","2024-02-10","Happy Paws Shelter",419
"German Shepherd","2023-05-19","City Animal Care",588
"Chihuahua","2022-02-21","Willow Creek Adoptions",379
"French Bulldog","2023-07-29","Willow Creek Adoptions",1222
"Beagle","2024-11-19","Willow Creek Adoptions",386
"Dachshund","2024-12-03","Willow Creek Adoptions",381
"Poodle (Standard)","2023-01-22","City Animal Care",719
"Labrador Retriever","2022-08-28","Willow Creek Adoptions",613
"Chihuahua","2022-01-26","Pawsitive Rescue",200
"Poodle (Standard)","2022-08-16","Willow Creek Adoptions",719
"German Shepherd","2022-06-05","Pawsitive Rescue",380
"Golden Retriever","2022-09-20","Pawsitive Rescue",369
"Golden Retriever","2024-05-16","Happy Paws Shelter",612
"Pug","2022-10-28","Happy Paws Shelter",728
"Border Collie","2024-05-07","Willow Creek Adoptions",478
"Dachshund","2023-09-06","Willow Creek Adoptions",390
"Poodle (Standard)","2022-02-01","Willow Creek Adoptions",751
"Poodle (Standard)","2023-03-24","Pawsitive Rescue",449
"German Shepherd","2024-11-16","Willow Creek Adoptions",598
"Labrador Retriever","2023-08-03","Happy Paws Shelter",593
"Pug","2024-01-06","Willow Creek Adoptions",716
"German Shepherd","2022-02-20","Happy Paws Shelter",625
"German Shepherd","2022-04-17","Willow Creek Adoptions",636
"French Bulldog","2023-01-14","Happy Paws Shelter",1263
"Beagle","2022-09-02","Happy Paws Shelter",412
"French Bulldog","2022-07-14","Willow Creek Adoptions",1244
"Border Collie","2022-12-29","Happy Paws Shelter",497
"Dachshund","2024-08-10","Pawsitive Rescue",214
"Golden Retriever","2023-11-02","Pawsitive Rescue",357
"Labrador Retriever","2022-05-26","Willow Creek Adoptions",616
"French Bulldog","2024-05-16","Willow Creek Adoptions",1215
"German Shepherd","2022-05-23","Willow Creek Adoptions",628
"Poodle (Standard)","2024-08-19","Willow Creek Adoptions",697
"Pug","2024-11-26","City Animal Care",691
"Beagle","2023-07-28","Happy Paws Shelter",407
"Beagle","2023-02-13","Happy Paws Shelter",413
"German Shepherd","2024-09-26","Willow Creek Adoptions",602
"German Shepherd","2023-02-08","City Animal Care",599
"Pug","2023-02-24","Pawsitive Rescue",411
"Border Collie","2022-02-12","Willow Creek Adoptions",509
"Chihuahua","2023-12-25","Willow Creek Adoptions",351
"Labrador Retriever","2024-11-03","Willow Creek Adoptions",591
"Beagle","2024-11-05","Happy Paws Shelter",390
"Chihuahua","2023-10-24","Happy Paws Shelter",345
"Dachshund","2022-11-15","Willow Creek Adoptions",392
"Poodle (Standard)","2023-08-26","Willow Creek Adoptions",701
"German Shepherd","2023-09-29","Willow Creek Adoptions",611
"Golden Retriever","2023-03-26","City Animal Care",614
"Dachshund","2023-07-22","Pawsitive Rescue",217
"French Bulldog","2024-05-13","Pawsitive Rescue",804
"Poodle (Standard)","2022-09-11","Willow Creek Adoptions",716
"Border Collie","2023-12-28","Willow Creek Adoptions",470
"Dachshund","2024-11-22","Willow Creek Adoptions",382
"Dachshund","2022-09-28","Happy Paws Shelter",414
"Poodle (Standard)","2022-05-06","City Animal Care",727
"Golden Retriever","2023-06-11","Willow Creek Adoptions",613
"Border Collie","2023-06-01","City Animal Care",486
"Labrador Retriever","2023-07-26","Pawsitive Rescue",357
"German Shepherd","2024-04-10","Pawsitive Rescue",386
"Chihuahua","2023-11-01","Happy Paws Shelter",344
"Border Collie","2022-10-11","Willow Creek Adoptions",496
"Poodle (Standard)","2023-02-17","Willow Creek Adoptions",725
"Labrador Retriever","2022-04-18","Willow Creek Adoptions",620
"Chihuahua","2024-12-16","Pawsitive Rescue",187
"German Shepherd","2022-11-27","City Animal Care",586
"Chihuahua","2022-10-05","Happy Paws Shelter",358
"Poodle (Standard)","2024-03-23","Willow Creek Adoptions",709
"Beagle","2022-09-24","Happy Paws Shelter",408
"Beagle","2024-09-03","City Animal Care",389
"Border Collie","2022-06-19","Pawsitive Rescue",271
"Poodle (Standard)","2023-02-06","Happy Paws Shelter",728
"Pug","2024-09-10","City Animal Care",694
"Dachshund","2022-01-02","Willow Creek Adoptions",413
"Poodle (Standard)","2024-03-20","City Animal Care",694
"German Shepherd","2024-08-01","Pawsitive Rescue",375
"Golden Retriever","2024-12-20","City Animal Care",585
"Border Collie","2023-03-09","Willow Creek Adoptions",493
"Labrador Retriever","2022-07-21","Willow Creek Adoptions",615
"Pug","2024-02-27","Willow Creek Adoptions",708
"French Bulldog","2022-10-27","City Animal Care",1215
"Labrador Retriever","2024-07-23","Willow Creek Adoptions",593
"Beagle","2022-06-08","Pawsitive Rescue",207
"Golden Retriever","2022-12-16","Willow Creek Adoptions",610
"Chihuahua","2024-04-04","Willow Creek Adoptions",365
"German Shepherd","2024-04-09","Willow Creek Adoptions",615
"Labrador Retriever","2023-11-25","City Animal Care",573
"Dachshund","2022-05-02","Pawsitive Rescue",210
"Border Collie","2022-04-15","Willow Creek Adoptions",506
"Chihuahua","2024-10-16","Happy Paws Shelter",337
"Chihuahua","2022-12-22","Happy Paws Shelter",355
"Golden Retriever","2023-05-25","Pawsitive Rescue",366
"Border Collie","2022-08-02","Happy Paws Shelter",509
"Border Collie","2024-11-05","Willow Creek Adoptions",461
"French Bulldog","2023-11-13","Willow Creek Adoptions",1202
"Border Collie","2024-03-20","Happy Paws Shelter",499
"Golden Retriever","2022-03-14","City Animal Care",611
"Border Collie","2024-02-16","Willow Creek Adoptions",475
"Chihuahua","2022-02-09","Pawsitive Rescue",199
"French Bulldog","2023-03-09","Pawsitive Rescue",843
"Border Collie","2022-09-22","Pawsitive Rescue",260
"French Bulldog","2024-03-14","Willow Creek Adoptions",1217
"Dachshund","2023-03-06","City Animal Care",408
"German Shepherd","2024-01-24","Willow Creek Adoptions",609
"Poodle (Standard)","2024-09-22","Happy Paws Shelter",689
"Chihuahua","2024-06-04","Willow Creek Adoptions",360
"Labrador Retriever","2022-10-20","Happy Paws Shelter",589
"Poodle (Standard)","2023-09-28","Happy Paws Shelter",702
"French Bulldog","2023-04-18","City Animal Care",1217
"Chihuahua","2023-06-23","Pawsitive Rescue",191
"Poodle (Standard)","2023-12-07","Pawsitive Rescue",420
"Border Collie","2022-05-22","City Animal Care",492
"Chihuahua","2022-03-14","City Animal Care",353
"Golden Retriever","2023-11-28","Willow Creek Adoptions",600
"Poodle (Standard)","2023-02-12","Willow Creek Adoptions",727
"Beagle","2023-02-19","Willow Creek Adoptions",407
"Beagle","2023-04-12","Willow Creek Adoptions",404
"Poodle (Standard)","2024-11-27","Pawsitive Rescue",413
"French Bulldog","2022-07-28","City Animal Care",1230
"Poodle (Standard)","2024-03-28","Pawsitive Rescue",434
"Beagle","2024-10-28","Pawsitive Rescue",200
"Dachshund","2023-08-05","Willow Creek Adoptions",393
"Beagle","2023-12-18","Willow Creek Adoptions",391
"French Bulldog","2023-01-04","Pawsitive Rescue",852
"Border Collie","2024-01-21","Pawsitive Rescue",272
"Poodle (Standard)","2022-06-28","Willow Creek Adoptions",722
"French Bulldog","2022-05-07","City Animal Care",1256
"Dachshund","2023-05-05","Pawsitive Rescue",216
"Poodle (Standard)","2022-03-24","Happy Paws Shelter",728
"Labrador Retriever","2023-05-20","City Animal Care",585
"French Bulldog","2022-11-11","Happy Paws Shelter",1248
"French Bulldog","2024-07-26","Willow Creek Adoptions",1202
"German Shepherd","2022-11-01","Willow Creek Adoptions",626
"Golden Retriever","2024-01-17","Happy Paws Shelter",617
"Pug","2024-09-28","Pawsitive Rescue",407
"Border Collie","2024-08-21","Happy Paws Shelter",484
"Dachshund","2022-03-21","Pawsitive Rescue",214
"German Shepherd","2022-07-22","Willow Creek Adoptions",621
"Poodle (Standard)","2024-09-20","Willow Creek Adoptions",688
"French Bulldog","2024-01-27","Willow Creek Adoptions",1228
"Labrador Retriever","2023-06-16","Pawsitive Rescue",354
"Beagle","2024-08-05","Willow Creek Adoptions",391
"French Bulldog","2023-05-19","Happy Paws Shelter",1253
"Chihuahua","2023-09-07","Willow Creek Adoptions",358
"Dachshund","2023-04-19","Willow Creek Adoptions",395
"Beagle","2024-04-11","City Animal Care",396
"Poodle (Standard)","2023-07-09","Pawsitive Rescue",436
"Pug","2024-12-22","Willow Creek Adoptions",686
"German Shepherd","2024-07-20","Willow Creek Adoptions",608
"Pug","2022-02-17","City Animal Care",734
"German Shepherd","2024-04-04","City Animal Care",578
"Dachshund","2022-03-06","Happy Paws Shelter",421
"Labrador Retriever","2023-12-29","Happy Paws Shelter",581
"Dachshund","2024-11-06","City Animal Care",389
"German Shepherd","2024-05-13","Pawsitive Rescue",383
"Pug","2023-03-23","Willow Creek Adoptions",712
"Dachshund","2023-10-19","Willow Creek Adoptions",388
"Chihuahua","2024-04-21","Willow Creek Adoptions",363
"Border Collie","2022-02-12","Happy Paws Shelter",516
"French Bulldog","2023-08-23","Willow Creek Adoptions",1219
"Pug","2022-12-13","Happy Paws Shelter",720
"Beagle","2022-04-29","Willow Creek Adoptions",412
"Poodle (Standard)","2022-03-15","Pawsitive Rescue",448
"Pug","2023-12-17","Willow Creek Adoptions",694
"Golden Retriever","2023-02-22","Pawsitive Rescue",378
"Poodle (Standard)","2024-05-19","Willow Creek Adoptions",702
"Golden Retriever","2022-10-18","Happy Paws Shelter",612
"Poodle (Standard)","2023-07-12","City Animal Care",700
"Beagle","2022-01-26","Happy Paws Shelter",415
"German Shepherd","2022-04-03","Willow Creek Adoptions",633
"German Shepherd","2022-01-12","Pawsitive Rescue",390
"Chihuahua","2022-02-09","Willow Creek Adoptions",378
"Chihuahua","2024-04-17","Pawsitive Rescue",195
"Dachshund","2024-11-20","Happy Paws Shelter",407
"Labrador Retriever","2023-10-27","Happy Paws Shelter",583
"Labrador Retriever","2024-06-15","Willow Creek Adoptions",595
"Border Collie","2024-11-05","Happy Paws Shelter",477
"Labrador Retriever","2022-12-06","Willow Creek Adoptions",611
"French Bulldog","2024-07-06","Willow Creek Adoptions",1208
"Border Collie","2024-07-20","Willow Creek Adoptions",470
"Chihuahua","2022-10-19","Willow Creek Adoptions",361
"Border Collie","2022-09-07","Willow Creek Adoptions",500
"Golden Retriever","2022-09-11","Happy Paws Shelter",616
"Golden Retriever","2024-09-06","City Animal Care",593
"Border Collie","2024-05-09","Happy Paws Shelter",493
"Chihuahua","2023-11-09","Willow Creek Adoptions",356
"Border Collie","2022-02-04","City Animal Care",503
"Poodle (Standard)","2022-01-23","City Animal Care",733
"Golden Retriever","2023-01-01","Happy Paws Shelter",621
"Chihuahua","2024-02-16","City Animal Care",346
"French Bulldog","2024-11-13","City Animal Care",1169
"Poodle (Standard)","2024-03-02","Willow Creek Adoptions",712
"Pug","2024-01-27","Willow Creek Adoptions",710
"Border Collie","2024-11-29","City Animal Care",460
"German Shepherd","2024-04-17","Willow Creek Adoptions",612
"Dachshund","2023-09-08","Happy Paws Shelter",409
"French Bulldog","2023-09-12","Willow Creek Adoptions",1215
"Dachshund","2022-09-09","Willow Creek Adoptions",398
"Pug","2024-12-04","Willow Creek Adoptions",689
"Golden Retriever","2024-02-11","Happy Paws Shelter",619
"Poodle (Standard)","2024-12-12","Happy Paws Shelter",678
"Poodle (Standard)","2022-01-08","Happy Paws Shelter",731
"French Bulldog","2023-05-08","Willow Creek Adoptions",1246
"Labrador Retriever","2022-05-23","Willow Creek Adoptions",617
"Dachshund","2022-06-25","Pawsitive Rescue",207
"Poodle (Standard)","2024-02-03","Happy Paws Shelter",715
"Labrador Retriever","2022-06-13","Pawsitive Rescue",362
"Chihuahua","2022-11-03","Pawsitive Rescue",198
"French Bulldog","2024-09-28","Happy Paws Shelter",1186
"Pug","2024-07-04","Pawsitive Rescue",413
"Beagle","2024-02-01","Willow Creek Adoptions",401
"Dachshund","2022-05-25","Willow Creek Adoptions",411
"Pug","2024-01-19","Happy Paws Shelter",732
"German Shepherd","2024-10-25","Willow Creek Adoptions",599
"Pug","2023-08-28","City Animal Care",710
"Poodle (Standard)","2022-05-08","Willow Creek Adoptions",745
"Golden Retriever","2023-06-22","Happy Paws Shelter",606
"French Bulldog","2022-09-15","Willow Creek Adoptions",1233
"Border Collie","2023-03-25","Pawsitive Rescue",268
"Beagle","2023-10-03","Pawsitive Rescue",200
"Pug","2024-10-12","City Animal Care",693
"Dachshund","2024-03-12","Happy Paws Shelter",418
"Poodle (Standard)","2022-12-02","Willow Creek Adoptions",719
"Labrador Retriever","2022-07-03","Willow Creek Adoptions",616
"Golden Retriever","2022-09-08","City Animal Care",604
"Labrador Retriever","2023-03-03","Pawsitive Rescue",348
"Pug","2024-09-08","Happy Paws Shelter",714
"Beagle","2022-09-09","City Animal Care",403
"Beagle","2024-10-05","Willow Creek Adoptions",389
"Dachshund","2022-11-19","Happy Paws Shelter",409
"Border Collie","2023-01-13","Happy Paws Shelter",504
"Chihuahua","2023-05-03","City Animal Care",347
"German Shepherd","2023-01-04","Willow Creek Adoptions",629
"Beagle","2022-12-23","Willow Creek Adoptions",401
"Dachshund","2022-08-07","Willow Creek Adoptions",400
"Border Collie","2022-04-04","Pawsitive Rescue",270
"German Shepherd","2022-04-22","Pawsitive Rescue",384
"Poodle (Standard)","2023-03-01","Willow Creek Adoptions",721
"Border Collie","2024-02-15","Pawsitive Rescue",268
"French Bulldog","2023-10-02","Willow Creek Adoptions",1209
"Labrador Retriever","2023-05-27","City Animal Care",584
"Chihuahua","2023-04-22","Pawsitive Rescue",193
"Labrador Retriever","2023-04-21","Willow Creek Adoptions",608
"Poodle (Standard)","2024-03-11","Willow Creek Adoptions",710
"Pug","2023-02-14","Happy Paws Shelter",743
"Beagle","2022-09-24","Willow Creek Adoptions",405
"Golden Retriever","2024-02-29","Happy Paws Shelter",615
"French Bulldog","2024-08-15","Willow Creek Adoptions",1203
"Poodle (Standard)","2023-04-06","Pawsitive Rescue",444
"Pug","2023-03-01","Pawsitive Rescue",410
"Border Collie","2023-11-20","Willow Creek Adoptions",475
"French Bulldog","2023-04-03","Happy Paws Shelter",1266
"French Bulldog","2022-08-02","Willow Creek Adoptions",1242
"Labrador Retriever","2024-07-28","Willow Creek Adoptions",592
"Border Collie","2023-04-14","Pawsitive Rescue",264
"Poodle (Standard)","2023-10-07","Happy Paws Shelter",699
"French Bulldog","2022-10-11","Pawsitive Rescue",797
"Beagle","2024-08-16","Willow Creek Adoptions",390
"Chihuahua","2022-06-08","Willow Creek Adoptions",368
"French Bulldog","2023-08-08","Happy Paws Shelter",1235
"Poodle (Standard)","2024-04-05","Willow Creek Adoptions",708
"Border Collie","2024-07-08","Happy Paws Shelter",489
"Dachshund","2022-04-12","Willow Creek Adoptions",412
"Pug","2023-03-01","Willow Creek Adoptions",714
"Golden Retriever","2023-12-05","City Animal Care",593
"Golden Retriever","2022-03-27","Willow Creek Adoptions",630
"Beagle","2024-05-11","Happy Paws Shelter",398
"Beagle","2022-07-01","Happy Paws Shelter",411
"Pug","2024-02-06","Willow Creek Adoptions",714
"Border Collie","2023-08-20","Willow Creek Adoptions",484
"Golden Retriever","2022-06-10","Willow Creek Adoptions",624
"German Shepherd","2022-05-19","City Animal Care",594
"Pug","2024-07-26","Willow Creek Adoptions",697
"French Bulldog","2023-06-13","Willow Creek Adoptions",1233
"Golden Retriever","2024-04-04","Happy Paws Shelter",614
"Labrador Retriever","2022-12-23","City Animal Care",570
"Poodle (Standard)","2023-09-06","Willow Creek Adoptions",704
"Pug","2023-09-29","Willow Creek Adoptions",703
"Poodle (Standard)","2023-11-06","City Animal Care",691
"Labrador Retriever","2023-06-21","Happy Paws Shelter",590
"Chihuahua","2023-08-06","Pawsitive Rescue",190
"French Bulldog","2024-07-11","Willow Creek Adoptions",1206
"Pug","2024-02-01","Willow Creek Adoptions",715
"Chihuahua","2022-12-01","Willow Creek Adoptions",358
"French Bulldog","2023-08-27","Pawsitive Rescue",800
"Border Collie","2024-03-02","Willow Creek Adoptions",473
"Pug","2024-05-06","City Animal Care",702
"Poodle (Standard)","2024-06-14","Willow Creek Adoptions",701
"Beagle","2024-06-05","Happy Paws Shelter",397
"Poodle (Standard)","2023-03-09","Willow Creek Adoptions",719
"Chihuahua","2024-05-26","Willow Creek Adoptions",361
"Golden Retriever","2024-09-08","Willow Creek Adoptions",600
"German Shepherd","2022-05-20","Willow Creek Adoptions",629
"Pug","2022-12-12","Pawsitive Rescue",403
"Pug","2023-07-01","Willow Creek Adoptions",718
"Golden Retriever","2024-04-11","Happy Paws Shelter",613
"Golden Retriever","2022-06-03","Willow Creek Adoptions",625
"Labrador Retriever","2023-04-10","Happy Paws Shelter",602
"Labrador Retriever","2023-01-16","Happy Paws Shelter",605
"Border Collie","2023-04-14","Happy Paws Shelter",502
"French Bulldog","2022-01-07","Pawsitive Rescue",858
"Chihuahua","2024-11-17","Happy Paws Shelter",335
"Beagle","2022-09-05","Willow Creek Adoptions",404
"Labrador Retriever","2023-12-23","Willow Creek Adoptions",593
"German Shepherd","2024-12-11","Pawsitive Rescue",366
"Poodle (Standard)","2022-09-11","City Animal Care",718
"Poodle (Standard)","2024-02-20","Happy Paws Shelter",709
"French Bulldog","2022-04-25","Willow Creek Adoptions",1251
"Dachshund","2024-12-22","Pawsitive Rescue",202
"French Bulldog","2024-11-08","Willow Creek Adoptions",1191
"French Bulldog","2023-01-29","Pawsitive Rescue",849
"Chihuahua","2024-05-12","Pawsitive Rescue",194
"Golden Retriever","2024-04-26","Willow Creek Adoptions",609
"Poodle (Standard)","2022-09-08","Willow Creek Adoptions",717
"Labrador Retriever","2022-10-25","Willow Creek Adoptions",610
"German Shepherd","2024-07-21","Willow Creek Adoptions",609
"German Shepherd","2023-02-26","Willow Creek Adoptions",620
"Poodle (Standard)","2024-01-15","Happy Paws Shelter",712
"Dachshund","2024-08-29","Willow Creek Adoptions",385
"Pug","2023-04-17","Pawsitive Rescue",401
"Golden Retriever","2023-01-18","Pawsitive Rescue",376
"Border Collie","2024-08-19","Willow Creek Adoptions",474
"Poodle (Standard)","2023-03-18","Pawsitive Rescue",450
"Border Collie","2023-01-28","Willow Creek Adoptions",492
"Beagle","2022-02-01","Willow Creek Adoptions",421
"Golden Retriever","2023-12-08","Willow Creek Adoptions",599
"Beagle","2023-02-22","City Animal Care",405
"Pug","2024-07-19","City Animal Care",697
"German Shepherd","2024-05-17","Happy Paws Shelter",607
"Poodle (Standard)","2023-05-15","Pawsitive Rescue",439
"German Shepherd","2022-02-17","Willow Creek Adoptions",639
"Golden Retriever","2023-05-05","Willow Creek Adoptions",616
"Dachshund","2023-02-15","Willow Creek Adoptions",401
"Poodle (Standard)","2022-08-18","City Animal Care",723
"French Bulldog","2024-06-27","Willow Creek Adoptions",1209
"Beagle","2023-11-04","Willow Creek Adoptions",393
"Labrador Retriever","2023-05-13","Willow Creek Adoptions",606
"Poodle (Standard)","2024-04-02","Willow Creek Adoptions",708
"Labrador Retriever","2024-05-13","Willow Creek Adoptions",599
"Golden Retriever","2023-09-24","Happy Paws Shelter",601
"Pug","2022-02-25","Pawsitive Rescue",419
"Poodle (Standard)","2022-01-27","Willow Creek Adoptions",746
"Labrador Retriever","2024-11-28","Willow Creek Adoptions",589
"Golden Retriever","2022-10-09","Willow Creek Adoptions",616
"Pug","2024-12-23","Pawsitive Rescue",395
"French Bulldog","2024-12-27","Pawsitive Rescue",772
"Pug","2022-07-16","City Animal Care",719
"Poodle (Standard)","2022-10-18","Willow Creek Adoptions",704
"Chihuahua","2024-03-27","Willow Creek Adoptions",366
"Dachshund","2024-01-10","Willow Creek Adoptions",396
"Poodle (Standard)","2024-05-23","Willow Creek Adoptions",701
"Border Collie","2022-09-26","Happy Paws Shelter",501
"Poodle (Standard)","2024-07-26","Willow Creek Adoptions",698
"Poodle (Standard)","2023-05-17","Willow Creek Adoptions",714
"French Bulldog","2022-04-14","Happy Paws Shelter",1271
"Border Collie","2022-02-25","Willow Creek Adoptions",508
"Dachshund","2022-01-05","Happy Paws Shelter",427
"German Shepherd","2023-01-20","Pawsitive Rescue",375
"French Bulldog","2022-05-18","Pawsitive Rescue",826
"Dachshund","2022-10-24","Willow Creek Adoptions",393
"Pug","2024-03-03","Happy Paws Shelter",727
"Poodle (Standard)","2024-07-26","City Animal Care",685
"Labrador Retriever","2022-06-14","Willow Creek Adoptions",618
"Pug","2024-09-03","Willow Creek Adoptions",695
"Beagle","2022-01-13","City Animal Care",406
"Dachshund","2024-03-29","Willow Creek Adoptions",392
"Beagle","2023-06-09","Willow Creek Adoptions",402
"Border Collie","2024-06-08","Willow Creek Adoptions",475
"Golden Retriever","2023-09-18","Willow Creek Adoptions",606
"German Shepherd","2024-11-05","Willow Creek Adoptions",598
"Border Collie","2022-11-28","Willow Creek Adoptions",489
"Beagle","2024-05-07","Pawsitive Rescue",205
"French Bulldog","2023-07-18","Pawsitive Rescue",810
"Dachshund","2023-05-16","Willow Creek Adoptions",395
"Chihuahua","2024-04-22","Happy Paws Shelter",345
"Beagle","2022-03-05","Happy Paws Shelter",414
"German Shepherd","2024-10-27","Willow Creek Adoptions",599
"Pug","2024-04-02","Happy Paws Shelter",725
"Chihuahua","2022-07-02","Willow Creek Adoptions",367
"Beagle","2023-10-09","Happy Paws Shelter",402
"Border Collie","2024-07-20","City Animal Care",475
"Border Collie","2024-03-15","Willow Creek Adoptions",472
"Labrador Retriever","2022-04-28","Willow Creek Adoptions",619
"French Bulldog","2024-06-18","Willow Creek Adoptions",1211
"Beagle","2024-11-18","Happy Paws Shelter",389
"French Bulldog","2024-08-19","Happy Paws Shelter",1207
"Border Collie","2022-08-02","Willow Creek Adoptions",499
"Poodle (Standard)","2023-01-01","Happy Paws Shelter",733
"Pug","2024-01-21","City Animal Care",708
"Border Collie","2024-08-19","City Animal Care",471
"Golden Retriever","2024-07-03","Willow Creek Adoptions",604
"Labrador Retriever","2024-01-22","Pawsitive Rescue",360
"Border Collie","2024-08-10","Happy Paws Shelter",485
"German Shepherd","2024-02-06","Willow Creek Adoptions",619
"Dachshund","2023-11-12","Willow Creek Adoptions",387
"French Bulldog","2022-12-03","City Animal Care",1220
"Labrador Retriever","2022-09-27","Willow Creek Adoptions",612
"Dachshund","2024-02-19","Willow Creek Adoptions",394
"Poodle (Standard)","2023-03-14","Willow Creek Adoptions",718
"French Bulldog","2024-08-21","Pawsitive Rescue",790
"German Shepherd","2022-06-02","Willow Creek Adoptions",627
"Dachshund","2022-09-02","City Animal Care",414
"Border Collie","2024-06-24","Willow Creek Adoptions",473
"Golden Retriever","2022-07-25","Willow Creek Adoptions",620
"Beagle","2023-04-13","Pawsitive Rescue",207
"Beagle","2023-04-10","Willow Creek Adoptions",405
"Poodle (Standard)","2022-05-16","Willow Creek Adoptions",742
"Pug","2024-08-21","Willow Creek Adoptions",696
"Border Collie","2022-09-09","Willow Creek Adoptions",499
"Poodle (Standard)","2023-09-12","Willow Creek Adoptions",704
"Pug","2024-09-16","Willow Creek Adoptions",693
"Golden Retriever","2023-08-07","Willow Creek Adoptions",609
"Beagle","2023-11-09","Happy Paws Shelter",400
"Border Collie","2022-05-04","Willow Creek Adoptions",505
"Border Collie","2024-12-04","Willow Creek Adoptions",462
"Pug","2023-08-13","Willow Creek Adoptions",711
"Border Collie","2023-10-19","Pawsitive Rescue",255
"Beagle","2024-11-26","City Animal Care",384
"Golden Retriever","2024-09-22","Willow Creek Adoptions",599
"Poodle (Standard)","2024-10-26","Willow Creek Adoptions",681
"Dachshund","2024-02-02","Willow Creek Adoptions",395
"Border Collie","2024-10-01","Willow Creek Adoptions",465
"Poodle (Standard)","2022-08-25","Willow Creek Adoptions",718
"Pug","2022-05-11","Willow Creek Adoptions",726
"Border Collie","2024-04-23","Willow Creek Adoptions",470
